file,product,model,colour,code,lighting,angle
bottle_SER1-SGE-MT-GLD-BLK_sunset_front.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,sunset,front
bottle_SER1-SGE-MT-GLD-BLK_sunset_hero.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,sunset,hero
bottle_SER1-SGE-MT-GLD-BLK_sunset_high.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,sunset,high
bottle_SER1-SGE-MT-GLD-BLK_sunset_profile.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,sunset,profile
bottle_SER1-SGE-MT-GLD-BLK_white_front.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,white,front
bottle_SER1-SGE-MT-GLD-BLK_white_hero.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,white,hero
bottle_SER1-SGE-MT-GLD-BLK_white_high.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,white,high
bottle_SER1-SGE-MT-GLD-BLK_white_profile.png,bottle,SERUM 30ML,Sage,SER1-SGE-MT-GLD-BLK,white,profile
headphones_ORB1-ACD-GL-BLK-MSH_neon_front.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,neon,front
headphones_ORB1-ACD-GL-BLK-MSH_neon_hero.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,neon,hero
headphones_ORB1-ACD-GL-BLK-MSH_neon_high.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,neon,high
headphones_ORB1-ACD-GL-BLK-MSH_neon_profile.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,neon,profile
headphones_ORB1-ACD-GL-BLK-MSH_showroom_front.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,showroom,front
headphones_ORB1-ACD-GL-BLK-MSH_showroom_hero.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,showroom,hero
headphones_ORB1-ACD-GL-BLK-MSH_showroom_high.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,showroom,high
headphones_ORB1-ACD-GL-BLK-MSH_showroom_profile.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,showroom,profile
headphones_ORB1-ACD-GL-BLK-MSH_studio_front.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,studio,front
headphones_ORB1-ACD-GL-BLK-MSH_studio_hero.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,studio,hero
headphones_ORB1-ACD-GL-BLK-MSH_studio_high.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,studio,high
headphones_ORB1-ACD-GL-BLK-MSH_studio_profile.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,studio,profile
headphones_ORB1-ACD-GL-BLK-MSH_sunset_front.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,sunset,front
headphones_ORB1-ACD-GL-BLK-MSH_sunset_hero.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,sunset,hero
headphones_ORB1-ACD-GL-BLK-MSH_sunset_high.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,sunset,high
headphones_ORB1-ACD-GL-BLK-MSH_sunset_profile.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,sunset,profile
headphones_ORB1-ACD-GL-BLK-MSH_white_front.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,white,front
headphones_ORB1-ACD-GL-BLK-MSH_white_hero.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,white,hero
headphones_ORB1-ACD-GL-BLK-MSH_white_high.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,white,high
headphones_ORB1-ACD-GL-BLK-MSH_white_profile.png,headphones,ORBIT ONE,Acid,ORB1-ACD-GL-BLK-MSH,white,profile
headphones_ORB1-CLY-MT-GLD-NAP_neon_front.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,neon,front
headphones_ORB1-CLY-MT-GLD-NAP_neon_hero.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,neon,hero
headphones_ORB1-CLY-MT-GLD-NAP_neon_high.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,neon,high
headphones_ORB1-CLY-MT-GLD-NAP_neon_profile.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,neon,profile
headphones_ORB1-CLY-MT-GLD-NAP_showroom_front.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,showroom,front
headphones_ORB1-CLY-MT-GLD-NAP_showroom_hero.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,showroom,hero
headphones_ORB1-CLY-MT-GLD-NAP_showroom_high.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,showroom,high
headphones_ORB1-CLY-MT-GLD-NAP_showroom_profile.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,showroom,profile
headphones_ORB1-CLY-MT-GLD-NAP_studio_front.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,studio,front
headphones_ORB1-CLY-MT-GLD-NAP_studio_hero.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,studio,hero
headphones_ORB1-CLY-MT-GLD-NAP_studio_high.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,studio,high
headphones_ORB1-CLY-MT-GLD-NAP_studio_profile.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,studio,profile
headphones_ORB1-CLY-MT-GLD-NAP_sunset_front.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,sunset,front
headphones_ORB1-CLY-MT-GLD-NAP_sunset_hero.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,sunset,hero
headphones_ORB1-CLY-MT-GLD-NAP_sunset_high.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,sunset,high
headphones_ORB1-CLY-MT-GLD-NAP_sunset_profile.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,sunset,profile
headphones_ORB1-CLY-MT-GLD-NAP_white_front.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,white,front
headphones_ORB1-CLY-MT-GLD-NAP_white_hero.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,white,hero
headphones_ORB1-CLY-MT-GLD-NAP_white_high.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,white,high
headphones_ORB1-CLY-MT-GLD-NAP_white_profile.png,headphones,ORBIT ONE,Terracotta,ORB1-CLY-MT-GLD-NAP,white,profile
headphones_ORB1-GRA-ST-GUN-NAP_neon_front.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,neon,front
headphones_ORB1-GRA-ST-GUN-NAP_neon_hero.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,neon,hero
